dataset,count_type,gene,sgRNA,group,sample_id,read_count
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-8,T0,T0_3,4540.557360923265
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-9,T0,T0_3,5670.0197703375325
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-2,T0,T0_3,3524.6335678399773
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-4,T0,T0_3,5796.393186775492
CRISPRn-RT112,sizeFactor,COPS4,COPS4-6,T0,T0_3,5840.821340991963
CRISPRn-RT112,sizeFactor,RPL34,RPL34-5,T0,T0_3,3906.715694101622
CRISPRn-RT112,sizeFactor,RPL11,RPL11-7,T0,T0_3,6385.806699380664
CRISPRn-RT112,sizeFactor,NUP54,NUP54-19,T0,T0_3,4786.393147587733
CRISPRn-RT112,sizeFactor,RPL9,RPL9-7,T0,T0_3,3700.3716000740155
CRISPRn-RT112,sizeFactor,RPL3,RPL3-11,T0,T0_3,5017.419549513379
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-1,T0,T0_3,3869.1985860966024
CRISPRn-RT112,sizeFactor,RPS24,RPS24-5,T0,T0_3,4397.399975114638
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-11,T0,T0_3,4661.994315781617
CRISPRn-RT112,sizeFactor,RPL30,RPL30-8,T0,T0_3,4192.0431734029535
CRISPRn-RT112,sizeFactor,POLA1,POLA1-3,T0,T0_3,3372.5905511880565
CRISPRn-RT112,sizeFactor,RPL36,RPL36-5,T0,T0_3,5476.5104764169055
CRISPRn-RT112,sizeFactor,RPS19,RPS19-3,T0,T0_3,2868.084177752138
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-7,T0,T0_3,3747.76163123825
CRISPRn-RT112,sizeFactor,RPL11,RPL11-9,T0,T0_3,3366.6667972925275
CRISPRn-RT112,sizeFactor,COPB1,COPB1-6,T0,T0_3,6489.472392552429
CRISPRn-RT112,sizeFactor,NUP93,NUP93-10,T0,T0_3,3395.298274454253
CRISPRn-RT112,sizeFactor,RPL9,RPL9-6,T0,T0_3,3008.279686613
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-4,T0,T0_3,4622.502623144755
CRISPRn-RT112,sizeFactor,RPS13,RPS13-2,T0,T0_3,4691.613085259264
CRISPRn-RT112,sizeFactor,RPS9,RPS9-8,T0,T0_3,3524.6335678399773
CRISPRn-RT112,sizeFactor,NUP98,NUP98-12,T0,T0_3,4683.714746731891
CRISPRn-RT112,sizeFactor,COPS2,COPS2-4,T0,T0_3,6140.958205032117
CRISPRn-RT112,sizeFactor,COPS4,COPS4-4,T0,T0_3,4691.613085259264
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-2,T0,T0_3,4011.3686795893072
CRISPRn-RT112,sizeFactor,RPS8,RPS8-5,T0,T0_3,4129.843757499895
CRISPRn-RT112,sizeFactor,COPS4,COPS4-7,T0,T0_3,3263.988396436685
CRISPRn-RT112,sizeFactor,RPL6,RPL6-2,T0,T0_3,10587.722795942833
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-9,T0,T0_3,5041.114565095497
CRISPRn-RT112,sizeFactor,RPS9,RPS9-4,T0,T0_3,3140.5768569464894
CRISPRn-RT112,sizeFactor,RPS13,RPS13-7,T0,T0_3,3029.012825247353
CRISPRn-RT112,sizeFactor,RPS13,RPS13-6,T0,T0_3,5007.546626354164
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-5,T0,T0_3,5049.012903622869
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-11,T0,T0_3,5005.572041722321
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-2,T0,T0_3,4367.781205636991
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-3,T0,T0_3,3491.065629098644
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-5,T0,T0_3,4042.9620336987973
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-18,T0,T0_3,3843.528985882642
CRISPRn-RT112,sizeFactor,POLA1,POLA1-5,T0,T0_3,5361.984567770005
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-1,T0,T0_3,3900.7919402060925
CRISPRn-RT112,sizeFactor,RPL30,RPL30-1,T0,T0_3,3010.2542712448435
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-4,T0,T0_3,2925.347132075589
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-3,T0,T0_3,3726.041200287976
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-7,T0,T0_3,2833.528946694884
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-7,T0,T0_3,3835.6306473552695
CRISPRn-RT112,sizeFactor,RPL27,RPL27-2,T0,T0_3,3585.845691427114
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-5,T0,T0_3,4052.834956858013
CRISPRn-RT112,sizeFactor,RPS13,RPS13-5,T0,T0_3,4457.624806385854
CRISPRn-RT112,sizeFactor,RPS9,RPS9-2,T0,T0_3,2916.4615012322947
CRISPRn-RT112,sizeFactor,COPB1,COPB1-1,T0,T0_3,3988.6609563231113
CRISPRn-RT112,sizeFactor,RPL34,RPL34-7,T0,T0_3,3861.30024756923
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-1,T0,T0_3,3637.1848918550354
CRISPRn-RT112,sizeFactor,COPS2,COPS2-9,T0,T0_3,3645.0832303824077
CRISPRn-RT112,sizeFactor,NUP133,NUP133-6,T0,T0_3,3419.9805823522915
CRISPRn-RT112,sizeFactor,RPL35A,RPL35A-6,T0,T0_3,2989.5211326104904
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-15,T0,T0_3,3371.603258872135
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-1,T0,T0_3,3630.2738456435845
CRISPRn-RT112,sizeFactor,COPS8,COPS8-10,T0,T0_3,4099.237695706326
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-5,T0,T0_3,3152.4243647375483
CRISPRn-RT112,sizeFactor,COPS6,COPS6-8,T0,T0_3,4488.230868179422
CRISPRn-RT112,sizeFactor,NUP98,NUP98-2,T0,T0_3,3322.238643076057
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-4,T0,T0_3,5335.3276752401225
CRISPRn-RT112,sizeFactor,COPS4,COPS4-1,T0,T0_3,2877.957100911354
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-6,T0,T0_3,6173.538851457529
CRISPRn-RT112,sizeFactor,RPL5,RPL5-2,T0,T0_3,3621.3882148002904
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-2,T0,T0_3,3578.9346452156633
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-4,T0,T0_3,3227.458580747587
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-12,T0,T0_3,3692.473261546643
CRISPRn-RT112,sizeFactor,NUP205,NUP205-5,T0,T0_3,3513.77335236484
CRISPRn-RT112,sizeFactor,POLA1,POLA1-4,T0,T0_3,5523.900507581141
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-23,T0,T0_3,3394.310982138331
CRISPRn-RT112,sizeFactor,COPB1,COPB1-5,T0,T0_3,4524.76068386852
CRISPRn-RT112,sizeFactor,RPS11,RPS11-7,T0,T0_3,5795.405894459571
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-11,T0,T0_3,3921.525078840445
CRISPRn-RT112,sizeFactor,NUP54,NUP54-11,T0,T0_3,4273.001143308521
CRISPRn-RT112,sizeFactor,RPS19,RPS19-5,T0,T0_3,3810.9483394572303
CRISPRn-RT112,sizeFactor,RPS19,RPS19-7,T0,T0_3,2443.5484819058665
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-7,T0,T0_3,2315.2004808360634
CRISPRn-RT112,sizeFactor,NUP98,NUP98-14,T0,T0_3,4486.256283547579
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-1,T0,T0_3,4596.833022930794
CRISPRn-RT112,sizeFactor,COPS4,COPS4-2,T0,T0_3,3836.617939671191
CRISPRn-RT112,sizeFactor,RPL5,RPL5-3,T0,T0_3,2739.736176682335
CRISPRn-RT112,sizeFactor,RPL3,RPL3-4,T0,T0_3,2590.6550369781794
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-3,T0,T0_3,5636.451831596199
CRISPRn-RT112,sizeFactor,NUP205,NUP205-1,T0,T0_3,4104.174157285935
CRISPRn-RT112,sizeFactor,RPS9,RPS9-7,T0,T0_3,3065.542640936451
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-6,T0,T0_3,2347.781127261475
CRISPRn-RT112,sizeFactor,RPL11,RPL11-10,T0,T0_3,3775.405816084054
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-4,T0,T0_3,2463.2943282242977
CRISPRn-RT112,sizeFactor,RPS19,RPS19-6,T0,T0_3,7601.163540280108
CRISPRn-RT112,sizeFactor,COPB1,COPB1-2,T0,T0_3,4042.9620336987973
CRISPRn-RT112,sizeFactor,NUP205,NUP205-2,T0,T0_3,5653.235800966865
CRISPRn-RT112,sizeFactor,RPL11,RPL11-5,T0,T0_3,2581.7694061348852
CRISPRn-RT112,sizeFactor,NUP98,NUP98-1,T0,T0_3,4895.982594655027
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-12,T0,T0_3,3207.7127344291557
CRISPRn-RT112,sizeFactor,COPB1,COPB1-7,T0,T0_3,2602.5025447692383
CRISPRn-RT112,sizeFactor,RPL9,RPL9-9,T0,T0_3,2393.1965737938667
CRISPRn-RT112,sizeFactor,RPL36,RPL36-10,T0,T0_3,2621.2610987717476
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-8,T0,T0_3,3123.792887575823
CRISPRn-RT112,sizeFactor,COPS8,COPS8-4,T0,T0_3,5230.674689752437
CRISPRn-RT112,sizeFactor,COPS8,COPS8-12,T0,T0_3,2971.7498709239026
CRISPRn-RT112,sizeFactor,NUP133,NUP133-2,T0,T0_3,3443.6755979344093
CRISPRn-RT112,sizeFactor,POLA1,POLA1-7,T0,T0_3,3504.887721521546
CRISPRn-RT112,sizeFactor,RPL34,RPL34-3,T0,T0_3,4531.671730079971
CRISPRn-RT112,sizeFactor,COPS6,COPS6-5,T0,T0_3,2851.3002083814717
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-7,T0,T0_3,2807.8593464809233
CRISPRn-RT112,sizeFactor,RPL11,RPL11-1,T0,T0_3,2446.5103588536313
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-2,T0,T0_3,3118.856425996215
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-3,T0,T0_3,3831.681478091583
CRISPRn-RT112,sizeFactor,COPA,COPA-9,T0,T0_3,3350.8701202377824
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-19,T0,T0_3,5563.392200218003
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-4,T0,T0_3,2969.7752862920593
CRISPRn-RT112,sizeFactor,RPL30,RPL30-7,T0,T0_3,3850.4400320940927
CRISPRn-RT112,sizeFactor,COPA,COPA-2,T0,T0_3,3314.3403045486843
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-4,T0,T0_3,2544.2522981298657
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-21,T0,T0_3,4028.152648959974
CRISPRn-RT112,sizeFactor,NUP133,NUP133-1,T0,T0_3,4881.173209916204
CRISPRn-RT112,sizeFactor,RPS8,RPS8-10,T0,T0_3,2679.51134541112
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-1,T0,T0_3,4236.471327619423
CRISPRn-RT112,sizeFactor,RPL36,RPL36-6,T0,T0_3,2110.8309714403
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-13,T0,T0_3,4196.979634982561
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-6,T0,T0_3,6159.716759034627
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-10,T0,T0_3,5227.7128128046725
CRISPRn-RT112,sizeFactor,RPL3,RPL3-9,T0,T0_3,5136.881919739888
CRISPRn-RT112,sizeFactor,COPS2,COPS2-6,T0,T0_3,2583.7439907667285
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-14,T0,T0_3,2642.981529722022
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-2,T0,T0_3,5939.5505725841185
CRISPRn-RT112,sizeFactor,RPS11,RPS11-3,T0,T0_3,4411.22206753754
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-8,T0,T0_3,2738.7488843664137
CRISPRn-RT112,sizeFactor,RPL35A,RPL35A-2,T0,T0_3,4137.7420960272675
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-8,T0,T0_3,4099.237695706326
CRISPRn-RT112,sizeFactor,RPS13,RPS13-10,T0,T0_3,2714.0665764683745
CRISPRn-RT112,sizeFactor,RPL30,RPL30-4,T0,T0_3,6067.898573653922
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-1,T0,T0_3,3123.792887575823
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-3,T0,T0_3,2265.8358650399855
CRISPRn-RT112,sizeFactor,RPS9,RPS9-3,T0,T0_3,2292.4927575698675
CRISPRn-RT112,sizeFactor,COPS6,COPS6-2,T0,T0_3,2562.023559816454
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-1,T0,T0_3,5526.862384528906
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-9,T0,T0_3,6036.305219544432
CRISPRn-RT112,sizeFactor,COPA,COPA-1,T0,T0_3,3705.308061653623
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-2,T0,T0_3,3911.6521556812295
CRISPRn-RT112,sizeFactor,RPS7,RPS7-3,T0,T0_3,4805.151701590244
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-18,T0,T0_3,2561.0362675005326
CRISPRn-RT112,sizeFactor,COPB1,COPB1-8,T0,T0_3,3175.1320880037442
CRISPRn-RT112,sizeFactor,NUP98,NUP98-6,T0,T0_3,6145.894666611725
CRISPRn-RT112,sizeFactor,COPA,COPA-6,T0,T0_3,1875.8554002509684
CRISPRn-RT112,sizeFactor,NUP205,NUP205-7,T0,T0_3,4289.785112679188
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-4,T0,T0_3,2733.8124227868057
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-9,T0,T0_3,3358.7684587651547
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-14,T0,T0_3,3017.1653174562944
CRISPRn-RT112,sizeFactor,NUP98,NUP98-7,T0,T0_3,4057.771418437621
CRISPRn-RT112,sizeFactor,COPA,COPA-4,T0,T0_3,2686.422391622571
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-6,T0,T0_3,3169.208334108215
CRISPRn-RT112,sizeFactor,NUP54,NUP54-15,T0,T0_3,5321.505582817221
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-6,T0,T0_3,2653.8417451971595
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-9,T0,T0_3,5683.841862760434
CRISPRn-RT112,sizeFactor,RPS8,RPS8-6,T0,T0_3,2484.0274668586508
CRISPRn-RT112,sizeFactor,RPL9,RPL9-2,T0,T0_3,3769.4820621885247
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-7,T0,T0_3,3908.6902787334648
CRISPRn-RT112,sizeFactor,COPA,COPA-10,T0,T0_3,4621.515330828833
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-3,T0,T0_3,3788.2406161910344
CRISPRn-RT112,sizeFactor,RPS27,RPS27-1,T0,T0_3,3340.009904762645
CRISPRn-RT112,sizeFactor,POLA1,POLA1-1,T0,T0_3,3418.0059977204487
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-8,T0,T0_3,2405.0440815849256
CRISPRn-RT112,sizeFactor,RPL34,RPL34-4,T0,T0_3,1855.1222616166156
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-3,T0,T0_3,4666.9307773612245
CRISPRn-RT112,sizeFactor,RPL27,RPL27-1,T0,T0_3,2993.4703018741766
CRISPRn-RT112,sizeFactor,COPA,COPA-7,T0,T0_3,2671.6130068837474
CRISPRn-RT112,sizeFactor,NUP133,NUP133-3,T0,T0_3,3363.7049203447627
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-1,T0,T0_3,4997.673703194948
CRISPRn-RT112,sizeFactor,RPL11,RPL11-3,T0,T0_3,2198.699987557319
CRISPRn-RT112,sizeFactor,NUP54,NUP54-8,T0,T0_3,4241.407789199032
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-3,T0,T0_3,2820.6941465879036
CRISPRn-RT112,sizeFactor,NUP205,NUP205-8,T0,T0_3,1673.460475487048
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-19,T0,T0_3,4206.852558141777
CRISPRn-RT112,sizeFactor,NUP98,NUP98-5,T0,T0_3,3010.2542712448435
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-13,T0,T0_3,2079.2376173308103
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-16,T0,T0_3,1754.4184453926161
CRISPRn-RT112,sizeFactor,COPS4,COPS4-8,T0,T0_3,2959.9023631328437
CRISPRn-RT112,sizeFactor,COPS6,COPS6-6,T0,T0_3,2597.5660831896303
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-20,T0,T0_3,1562.8837361038331
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-17,T0,T0_3,2355.6794657888477
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-1,T0,T0_3,5629.540785384748
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-9,T0,T0_3,3890.919017046877
CRISPRn-RT112,sizeFactor,RPL36,RPL36-2,T0,T0_3,2670.625714567826
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-4,T0,T0_3,2793.0499617420996
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-6,T0,T0_3,2950.029439973628
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-10,T0,T0_3,4081.4664340197382
CRISPRn-RT112,sizeFactor,RPL36,RPL36-7,T0,T0_3,3167.2337494763715
CRISPRn-RT112,sizeFactor,RPS19,RPS19-9,T0,T0_3,1500.6843202007747
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-8,T0,T0_3,2250.0391879852405
CRISPRn-RT112,sizeFactor,COPS6,COPS6-7,T0,T0_3,4324.340343736442
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-9,T0,T0_3,4533.646314711814
CRISPRn-RT112,sizeFactor,COPB1,COPB1-4,T0,T0_3,2930.283593655197
CRISPRn-RT112,sizeFactor,NUP93,NUP93-8,T0,T0_3,5074.68250383683
CRISPRn-RT112,sizeFactor,RPS8,RPS8-2,T0,T0_3,1968.660877947595
CRISPRn-RT112,sizeFactor,RPS7,RPS7-1,T0,T0_3,3706.2953539695445
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-8,T0,T0_3,7526.129324270069
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-6,T0,T0_3,4055.7968338057776
CRISPRn-RT112,sizeFactor,NUP93,NUP93-11,T0,T0_3,1553.0108129446173
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-10,T0,T0_3,2283.6071267265734
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-2,T0,T0_3,1778.1134609747337
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-2,T0,T0_3,3007.2923942970788
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-3,T0,T0_3,4181.1829579278165
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-10,T0,T0_3,3042.834917670255
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-5,T0,T0_3,2906.588578073079
CRISPRn-RT112,sizeFactor,RPS27,RPS27-3,T0,T0_3,5780.596509720747
CRISPRn-RT112,sizeFactor,COPS2,COPS2-3,T0,T0_3,5899.071587631334
CRISPRn-RT112,sizeFactor,COPB1,COPB1-10,T0,T0_3,1806.7449381364588
CRISPRn-RT112,sizeFactor,RPL5,RPL5-8,T0,T0_3,3946.2073867384843
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-12,T0,T0_3,4747.888747266793
CRISPRn-RT112,sizeFactor,COPS4,COPS4-3,T0,T0_3,2760.469315316688
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-1,T0,T0_3,2256.9502341966913
CRISPRn-RT112,sizeFactor,NUP93,NUP93-9,T0,T0_3,2555.112513605003
CRISPRn-RT112,sizeFactor,COPS4,COPS4-10,T0,T0_3,2604.477129401081
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-7,T0,T0_3,3665.8163690167607
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-4,T0,T0_3,1671.4858908552048
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-16,T0,T0_3,2314.213188520142
CRISPRn-RT112,sizeFactor,NUP133,NUP133-5,T0,T0_3,2347.781127261475
CRISPRn-RT112,sizeFactor,RPL3,RPL3-10,T0,T0_3,1199.560163844698
CRISPRn-RT112,sizeFactor,COPS8,COPS8-2,T0,T0_3,2423.8026355874354
CRISPRn-RT112,sizeFactor,RPS27,RPS27-5,T0,T0_3,3558.2015065813102
CRISPRn-RT112,sizeFactor,RPS13,RPS13-1,T0,T0_3,1668.5240139074401
CRISPRn-RT112,sizeFactor,RPL30,RPL30-5,T0,T0_3,2408.9932508486118
CRISPRn-RT112,sizeFactor,NUP93,NUP93-6,T0,T0_3,1398.0059193449322
CRISPRn-RT112,sizeFactor,COPS6,COPS6-1,T0,T0_3,3969.9024023206016
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-3,T0,T0_3,1038.6315163494835
CRISPRn-RT112,sizeFactor,COPS2,COPS2-10,T0,T0_3,3616.4517532206823
CRISPRn-RT112,sizeFactor,RPL11,RPL11-4,T0,T0_3,5756.9014941386295
CRISPRn-RT112,sizeFactor,RPL3,RPL3-2,T0,T0_3,4891.04613307542
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-10,T0,T0_3,2554.1252212890818
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-9,T0,T0_3,3116.881841364372
CRISPRn-RT112,sizeFactor,NUP98,NUP98-8,T0,T0_3,4887.096963811733
CRISPRn-RT112,sizeFactor,NUP205,NUP205-10,T0,T0_3,2913.49962428453
CRISPRn-RT112,sizeFactor,RPL36,RPL36-9,T0,T0_3,4547.468407134716
CRISPRn-RT112,sizeFactor,RPS19,RPS19-4,T0,T0_3,1499.697027884853
CRISPRn-RT112,sizeFactor,POLA1,POLA1-2,T0,T0_3,3568.074429740526
CRISPRn-RT112,sizeFactor,POLA1,POLA1-8,T0,T0_3,3292.6198735984103
CRISPRn-RT112,sizeFactor,COPS6,COPS6-10,T0,T0_3,2459.3451589606116
CRISPRn-RT112,sizeFactor,NUP54,NUP54-4,T0,T0_3,2693.333437834022
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-8,T0,T0_3,1565.8456130515976
CRISPRn-RT112,sizeFactor,RPL6,RPL6-1,T0,T0_3,969.5210542349741
CRISPRn-RT112,sizeFactor,NUP54,NUP54-20,T0,T0_3,2935.2200552348045
CRISPRn-RT112,sizeFactor,NUP205,NUP205-9,T0,T0_3,4681.740162100048
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-19,T0,T0_3,3257.0773502252337
CRISPRn-RT112,sizeFactor,RPS13,RPS13-3,T0,T0_3,2980.6355017671963
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-7,T0,T0_3,4078.5045570719735
CRISPRn-RT112,sizeFactor,COPS8,COPS8-9,T0,T0_3,4716.295393157303
CRISPRn-RT112,sizeFactor,NUP205,NUP205-4,T0,T0_3,7392.844861620658
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-10,T0,T0_3,5767.7617096137665
CRISPRn-RT112,sizeFactor,NUP133,NUP133-8,T0,T0_3,2080.2249096467317
CRISPRn-RT112,sizeFactor,NUP98,NUP98-3,T0,T0_3,3499.951259941938
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-7,T0,T0_3,2515.620820968141
CRISPRn-RT112,sizeFactor,RPL27,RPL27-8,T0,T0_3,4481.319821967971
CRISPRn-RT112,sizeFactor,RPL5,RPL5-4,T0,T0_3,4488.230868179422
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-5,T0,T0_3,3957.0676022136213
CRISPRn-RT112,sizeFactor,NUP98,NUP98-13,T0,T0_3,3134.65310305096
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-5,T0,T0_3,4235.484035303502
CRISPRn-RT112,sizeFactor,NUP98,NUP98-16,T0,T0_3,4350.997236266325
CRISPRn-RT112,sizeFactor,COPS6,COPS6-4,T0,T0_3,4133.792926763581
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-11,T0,T0_3,2205.61103376877
CRISPRn-RT112,sizeFactor,NUP98,NUP98-4,T0,T0_3,7940.792096957125
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-1,T0,T0_3,3631.261137959506
CRISPRn-RT112,sizeFactor,RPS7,RPS7-6,T0,T0_3,2640.0196527742573
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-17,T0,T0_3,680.2444056699563
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-9,T0,T0_3,1125.513240150581
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-8,T0,T0_3,2021.9746630073596
CRISPRn-RT112,sizeFactor,COPS2,COPS2-5,T0,T0_3,625.9433282942705
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-5,T0,T0_3,4194.017758034796
CRISPRn-RT112,sizeFactor,RPL3,RPL3-8,T0,T0_3,2700.2444840454727
CRISPRn-RT112,sizeFactor,RPS11,RPS11-9,T0,T0_3,3608.55341469331
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-22,T0,T0_3,6531.925962137056
CRISPRn-RT112,sizeFactor,RPS24,RPS24-10,T0,T0_3,9060.381583212176
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-7,T0,T0_3,2087.1359558581826
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-5,T0,T0_3,2295.4546345176323
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-10,T0,T0_3,3142.5514415783327
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-15,T0,T0_3,1992.3558935297126
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-13,T0,T0_3,2711.1046995206098
CRISPRn-RT112,sizeFactor,COPA,COPA-3,T0,T0_3,4249.306127726404
CRISPRn-RT112,sizeFactor,RPL3,RPL3-6,T0,T0_3,3991.622833270876
CRISPRn-RT112,sizeFactor,RPS24,RPS24-6,T0,T0_3,5415.298352829769
CRISPRn-RT112,sizeFactor,COPS8,COPS8-6,T0,T0_3,2274.7214958832797
CRISPRn-RT112,sizeFactor,RPS24,RPS24-4,T0,T0_3,7363.226092143012
CRISPRn-RT112,sizeFactor,LYZL6,LYZL6-6,T0,T0_3,6207.106790198862
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-21,T0,T0_3,2379.374481370965
CRISPRn-RT112,sizeFactor,COPS8,COPS8-15,T0,T0_3,7397.781323200266
CRISPRn-RT112,sizeFactor,RPL3,RPL3-7,T0,T0_3,3692.473261546643
CRISPRn-RT112,sizeFactor,NUP98,NUP98-10,T0,T0_3,6563.519316246546
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-14,T0,T0_3,3373.5778435039783
CRISPRn-RT112,sizeFactor,RPS24,RPS24-8,T0,T0_3,5350.137059978946
CRISPRn-RT112,sizeFactor,RPL9,RPL9-10,T0,T0_3,1324.9462879667365
