sgrna	symbol	pool	p.high	prob	chosen
DMRTB1-8	DMRTB1	list	-0.5862413212809633	1	1
RPL35A-7	RPL35A	list	-0.5505126938662108	1	1
HTR3D-3	HTR3D	list	-0.5085258248081339	1	1
KRT74-10	KRT74	list	-0.4821880206962433	1	1
KRT74-7	KRT74	list	-0.4512864589868383	1	1
IL1F10-9	IL1F10	list	-0.43174045858106885	1	1
ADH7-1	ADH7	list	-0.2825050273762876	1	1
OTUD6A-10	OTUD6A	list	-0.27055450317905144	1	1
PIWIL3-9	PIWIL3	list	-0.23024205451450275	1	1
LYZL6-7	LYZL6	list	-0.16703149860590485	1	1
PSMB3-2	PSMB3	list	-0.11772467611057652	1	1
IL1F10-7	IL1F10	list	-0.11686791787705628	1	1
OR9Q2-6	OR9Q2	list	-0.096551545138018	1	1
CABP5-7	CABP5	list	-0.042584402213461346	1	1
POLA1-6	POLA1	list	-0.03301576074352414	1	1
NUP54-2	NUP54	list	-0.013402292347238403	1	1
LUZP4-1	LUZP4	list	0.13063978016369296	1	1
RPS24-11	RPS24	list	0.13132384819451154	1	1
HTR3D-7	HTR3D	list	0.14742309008672974	1	1
NPHS2-2	NPHS2	list	0.20134819458734926	1	1
LHX5-3	LHX5	list	0.31674605393377486	1	1
NUP93-3	NUP93	list	0.37241157323058266	1	1
PSMD1-14	PSMD1	list	0.38596024171890697	1	1
LYZL6-5	LYZL6	list	0.39284350184337335	1	1
PSMA3-5	PSMA3	list	0.44766261027303916	1	1
COPS2-1	COPS2	list	0.47248700935764093	1	1
LYZL6-8	LYZL6	list	0.509739788434642	1	1
MRGPRD-1	MRGPRD	list	0.5870452870504479	1	1
DMRTC2-1	DMRTC2	list	0.5926260593253916	1	1
RPL27-9	RPL27	list	0.6105018484310677	1	1
COPS2-8	COPS2	list	0.6305669385002047	1	1
LYZL6-4	LYZL6	list	0.6550697830181336	1	1
COPS8-11	COPS8	list	0.7207973594736745	1	1
OR9Q2-8	OR9Q2	list	0.7252893732373646	1	1
OR9Q2-7	OR9Q2	list	0.7352914108968092	1	1
DMRTB1-10	DMRTB1	list	0.8808902245153618	1	1
NPHS2-5	NPHS2	list	0.9934251817431905	1	1
KRT25-4	KRT25	list	0.9957824639822956	1	1
RPS11-8	RPS11	list	1.0472216558954475	1	1
OLIG2-5	OLIG2	list	1.215517065503984	1	1
RPTN-4	RPTN	list	1.298670383448874	1	1
RXFP2-6	RXFP2	list	1.3214823633026171	1	1
RPL30-3	RPL30	list	1.3385658873697301	1	1
IL1F10-3	IL1F10	list	1.3651525231817279	1	1
RPL9-5	RPL9	list	1.3812485940220849	1	1
OC90-1	OC90	list	1.3816074971387817	1	1
RPS7-4	RPS7	list	1.4037564516066223	1	1
RPL30-9	RPL30	list	1.415790820869731	1	1
MRGPRD-9	MRGPRD	list	1.5020875177221225	1	1
RPS8-9	RPS8	list	1.5567365861663358	1	1
KRT25-3	KRT25	list	1.6512952749253271	1	1
IL1F10-6	IL1F10	list	1.6685237532945103	1	1
NUP98-15	NUP98	list	1.70977198176656	1	1
TPH2-8	TPH2	list	1.7399545054842922	1	1
RPS24-3	RPS24	list	1.7545274280599714	1	1
IL22-2	IL22	list	1.757048623411917	1	1
DMRTC2-3	DMRTC2	list	1.7620233141660258	1	1
RPL30-2	RPL30	list	1.8036623665898774	1	1
POLR2D-10	POLR2D	list	1.8391910129984537	1	1
PIWIL3-5	PIWIL3	list	1.84425275289743	1	1
RPL5-9	RPL5	list	1.8953413233346348	1	1
RNASE9-4	RNASE9	list	1.905358696606173	1	1
COPS8-5	COPS8	list	2.006754665336838	1	1
COPS8-13	COPS8	list	2.0109326629256747	1	1
POLA1-10	POLA1	list	2.0299034465596524	1	1
IL1F10-4	IL1F10	list	2.1749837086402164	1	1
IL1F10-1	IL1F10	list	2.19108930586804	1	1
PSMB3-10	PSMB3	list	2.2149645858798075	1	1
RPS11-6	RPS11	list	2.4169105608207984	1	1
CRYGB-8	CRYGB	list	2.4447394650810343	1	1
NUP205-6	NUP205	list	2.6830837723932026	1	1
OTUD6A-8	OTUD6A	list	2.7202342182835073	1	1
NPSR1-10	NPSR1	list	2.8376770408345577	1	1
PSMC1-3	PSMC1	list	2.9717625912331584	1	1
COPZ1-9	COPZ1	list	3.1337252781375233	1	1
IL1F10-10	IL1F10	list	3.2241578590313695	1	1
RPL36-4	RPL36	list	3.249922094862616	1	1
COPS8-1	COPS8	list	3.274203528557925	1	1
RPL9-4	RPL9	list	3.286834325384987	1	1
MRGPRD-8	MRGPRD	list	3.3347645596532987	1	1
COPS6-3	COPS6	list	3.362762992481124	1	1
NUP54-16	NUP54	list	3.4028943148707715	1	1
RPS19-1	RPS19	list	3.4153117947113323	1	1
RPL3-5	RPL3	list	3.4364856549162526	1	1
NUP54-9	NUP54	list	3.455838062764457	1	1
HTR3D-5	HTR3D	list	3.505739775418792	1	1
POLR2F-7	POLR2F	list	3.5682934727433597	1	1
RPS8-1	RPS8	list	3.578861032921691	1	1
PSMB2-11	PSMB2	list	3.6381389762781398	1	1
LYZL6-2	LYZL6	list	3.68941513015609	1	1
KRT25-2	KRT25	list	3.7429532356142055	1	1
NUP205-3	NUP205	list	3.7535351596978033	1	1
COPZ1-7	COPZ1	list	3.9351960900737515	1	1
POLR2F-4	POLR2F	list	4.181017374207367	1	1
MRGPRD-10	MRGPRD	list	4.185600173324635	1	1
POLA1-9	POLA1	list	4.211380821451291	1	1
PSMD7-6	PSMD7	list	4.240618244667999	1	1
PSMD1-16	PSMD1	list	4.394986028239681	1	1
RPS11-4	RPS11	list	4.416876537233503	1	1
COPS8-16	COPS8	list	4.419382266724375	1	1
COPZ1-15	COPZ1	list	4.880735556986128	1	1
NUP54-10	NUP54	list	5.290867321747317	1	1
RPS27-4	RPS27	list	5.434803856145521	1	1
NUP98-11	NUP98	list	5.5262006602439495	1	1
NUP133-10	NUP133	list	5.671267010307046	1	1
RPS24-13	RPS24	list	5.898756531845974	1	1
POLR2D-5	POLR2D	list	6.142303354990837	1	1
RPL5-1	RPL5	list	6.211522060064248	1	1
RPS8-3	RPS8	list	6.588944293531569	1	1
RPL27-7	RPL27	list	6.8924693752608714	1	1
RPS27-2	RPS27	list	7.0295254195420265	1	1
RPL11-6	RPL11	list	7.372122358200731	1	1
PSMC2-5	PSMC2	list	7.3835400662117445	1	1
PSMD7-3	PSMD7	list	7.413785564360299	1	1
RPS3A-6	RPS3A	list	7.456923577403969	1	1
RPS9-6	RPS9	list	7.475929784541445	1	1
RPL3-3	RPL3	list	7.56619084794455	1	1
NUP98-9	NUP98	list	7.763482622402766	1	1
RPS24-8	RPS24	list	7.895678909032069	1	1
LYZL6-6	LYZL6	list	7.948037506169872	1	1
COPS8-6	COPS8	list	7.965305333479452	1	1
COPS8-14	COPS8	list	8.03053601190038	1	1
RPL34-6	RPL34	list	8.036265820974704	1	1
PSMD1-13	PSMD1	list	8.045230461325726	1	1
NUP98-10	NUP98	list	8.061552643453291	1	1
RPL9-10	RPL9	list	8.071639501688466	1	1
RPL3-7	RPL3	list	8.22058334783967	1	1
RPL3-1	RPL3	list	8.34939852122829	1	1
COPA-3	COPA	list	8.465489473377833	1	1
COPZ1-5	COPZ1	list	8.486081576185894	1	1
PSMD1-21	PSMD1	list	8.524811144188552	1	1
COPZ1-14	COPZ1	list	8.676723049119406	1	1
PSMD11-7	PSMD11	list	8.716485711361372	1	1
RPS24-4	RPS24	list	8.752329175916474	1	1
RPL3-6	RPL3	list	8.807939856880871	1	1
PSMD6-15	PSMD6	list	8.882233825458716	1	1
PSMC4-10	PSMC4	list	8.906156714881954	1	1
RPL3-8	RPL3	list	8.95494648581612	1	1
RPS24-6	RPS24	list	8.961912202369636	1	1
COPS8-15	COPS8	list	9.022995114724555	1	1
RPS24-10	RPS24	list	9.026373847655012	1	1
PSMC4-8	PSMC4	list	9.213509406838988	1	1
PSMB2-22	PSMB2	list	9.351846844908906	1	1
RPS11-9	RPS11	list	9.374190642001247	1	1
RPL27-8	RPL27	list	9.41203845049211	1	1
PSMB2-17	PSMB2	list	9.491700619425776	1	1
PSMC4-1	PSMC4	list	9.518169512698298	1	1
POLR2A-9	POLR2A	list	9.655394241949713	1	1
COPS2-5	COPS2	list	9.6721359078153	1	1
NUP98-4	NUP98	list	9.739184774435948	1	1
PSMC1-5	PSMC1	list	9.7710859644332	1	1
NUP98-16	NUP98	list	9.881882136126855	1	1
RPL5-4	RPL5	list	9.967503474221225	1	1
RPL18A-5	RPL18A	list	10.114915463454695	1	1
NUP98-3	NUP98	list	10.287103297911475	1	1
NUP98-13	NUP98	list	10.318363764064514	1	1
PSMD6-11	PSMD6	list	10.319485507427022	1	1
RPS13-3	RPS13	list	10.470115562451674	1	1
RPS7-6	RPS7	list	10.565381576154106	1	1
PSMB3-5	PSMB3	list	10.636462918219177	1	1
PSMB3-7	PSMB3	list	10.681864858847005	1	1
COPS6-4	COPS6	list	10.720853379295301	1	1
NUP133-8	NUP133	list	10.988676507407027	1	1
POLR2F-10	POLR2F	list	11.09941739568823	1	1
PSMC1-7	PSMC1	list	11.210121333708255	1	1
NUP205-9	NUP205	list	11.275642596594388	1	1
PSMB2-19	PSMB2	list	11.34615334703271	1	1
COPS8-9	COPS8	list	11.646943085522768	1	1
POLR2A-8	POLR2A	list	11.688639912907357	1	1
NUP205-4	NUP205	list	11.741302541739348	1	1
POLA1-2	POLA1	list	11.773050778203865	1	1
NUP54-20	NUP54	list	11.917448987428541	1	1
RPL6-1	RPL6	list	12.010095950019378	1	1
NUP98-8	NUP98	list	12.203942221216709	1	1
NUP54-4	NUP54	list	12.243020849026086	1	1
PSMC4-9	PSMC4	list	12.460662680279041	1	1
RPL36-9	RPL36	list	12.497681242205875	1	1
COPS6-10	COPS6	list	12.619349127722174	1	1
COPZ1-3	COPZ1	list	12.681367526818407	1	1
RPS19-4	RPS19	list	12.774390779288291	1	1
POLA1-8	POLA1	list	12.830122609092609	1	1
NUP93-6	NUP93	list	12.830709773745674	1	1
PSMD11-10	PSMD11	list	12.838745546805765	1	1
RPL3-2	RPL3	list	12.887242571529907	1	1
RPS13-1	RPS13	list	12.911591430072162	1	1
RPL11-4	RPL11	list	12.997712257313585	1	1
RPS27-5	RPS27	list	13.019527034837981	1	1
NUP205-10	NUP205	list	13.022397386977676	1	1
COPS2-10	COPS2	list	13.096040961867525	1	1
COPS8-2	COPS8	list	13.252661098032213	1	1
PSMD6-16	PSMD6	list	13.37160524865002	1	1
RPL30-5	RPL30	list	13.390735955158824	1	1
RPL3-10	RPL3	list	13.436488563702097	1	1
PSMD11-1	PSMD11	list	13.444339248555687	1	1
PSMD11-4	PSMD11	list	13.458950151392937	1	1
NUP133-5	NUP133	list	13.557338588711492	1	1
COPS4-10	COPS4	list	13.654232890190636	1	1
PSMD1-7	PSMD1	list	13.696474073367522	1	1
NUP93-9	NUP93	list	14.0059043243005	1	1
RPS27-3	RPS27	list	14.067734121808341	1	1
COPS6-1	COPS6	list	14.076814423308823	1	1
COPS4-3	COPS4	list	14.246423825138748	1	1
PSMC2-12	PSMC2	list	14.367641971925972	1	1
COPB1-10	COPB1	list	14.404345430765863	1	1
COPS2-3	COPS2	list	14.48632366210234	1	1
PSMD7-10	PSMD7	list	14.48986068329461	1	1
RPL5-8	RPL5	list	14.915101308826259	1	1
POLR2F-8	POLR2F	list	14.972049537971253	1	1
RPS3A-2	RPS3A	list	14.978304542469122	1	1
RPS3A-5	RPS3A	list	14.998889804911608	1	1
NUP93-8	NUP93	list	15.040654666359956	1	1
PSMA3-2	PSMA3	list	15.156628748601337	1	1
NUP93-11	NUP93	list	15.171896182527764	1	1
RPL18A-3	RPL18A	list	15.46157338404475	1	1
PSMD6-6	PSMD6	list	15.489383059643483	1	1
RPS8-2	RPS8	list	15.512528210042214	1	1
PSMA3-10	PSMA3	list	15.556099823994987	1	1
RPS7-1	RPS7	list	15.839577835254918	1	1
COPS6-7	COPS6	list	15.935948503402416	1	1
PSMB2-9	PSMB2	list	16.03334645087573	1	1
COPB1-4	COPB1	list	16.293795590081487	1	1
RPL36-7	RPL36	list	16.31507171271072	1	1
PSMD1-19	PSMD1	list	16.32445065918774	1	1
COPS6-6	COPS6	list	16.33373573842399	1	1
POLR2A-4	POLR2A	list	16.403855759635942	1	1
RPS19-9	RPS19	list	16.479221169355107	1	1
RPL36-2	RPL36	list	16.553255551779834	1	1
PSMD1-8	PSMD1	list	16.56766285057499	1	1
PSMD6-17	PSMD6	list	16.669442500078063	1	1
COPS4-8	COPS4	list	16.687532975663103	1	1
PSMD11-3	PSMD11	list	16.865224595874636	1	1
POLR2A-10	POLR2A	list	16.96172338005665	1	1
PSMB2-16	PSMB2	list	17.061479765239373	1	1
PSMD11-6	PSMD11	list	17.086018062821815	1	1
PSMD6-13	PSMD6	list	17.153510373099206	1	1
PSMD6-9	PSMD6	list	17.16822097224693	1	1
PSMB2-20	PSMB2	list	17.22895089144111	1	1
NUP98-5	NUP98	list	17.23110121608534	1	1
PSMB3-1	PSMB3	list	17.29475578234989	1	1
NUP205-8	NUP205	list	17.40402201683559	1	1
RPL11-3	RPL11	list	17.572047982718367	1	1
POLR2A-3	POLR2A	list	17.73239037377007	1	1
PSMA3-1	PSMA3	list	17.744682861491196	1	1
RPL34-4	RPL34	list	17.96853046635742	1	1
PSMD11-8	PSMD11	list	17.97061390514577	1	1
NUP133-3	NUP133	list	18.035767812410693	1	1
RPL27-1	RPL27	list	18.04856151544229	1	1
RPS27-1	RPS27	list	18.091974201431697	1	1
PSMD7-9	PSMD7	list	18.23842832807438	1	1
POLR2D-6	POLR2D	list	18.288697549462956	1	1
PSMB3-6	PSMB3	list	18.312711997469528	1	1
RPL18A-2	RPL18A	list	18.327411758885464	1	1
PSMD6-3	PSMD6	list	18.403700532148356	1	1
PSMD6-14	PSMD6	list	18.497071530241307	1	1
COPA-6	COPA	list	18.505047084808794	1	1
COPA-10	COPA	list	18.507041360193888	1	1
COPA-4	COPA	list	18.518324213869928	1	1
COPA-7	COPA	list	18.57066481591084	1	1
RPL9-2	RPL9	list	18.574624737736528	1	1
PSMC2-13	PSMC2	list	18.59905635464067	1	1
PSMC4-7	PSMC4	list	18.696396457385557	1	1
NUP205-7	NUP205	list	18.697711347828577	1	1
NUP54-8	NUP54	list	18.76339619193681	1	1
COPS6-2	COPS6	list	18.78350260950426	1	1
NUP54-15	NUP54	list	18.858303956894012	1	1
RPL35A-2	RPL35A	list	18.861599861739755	1	1
RPS8-6	RPS8	list	18.86202293001365	1	1
COPB1-8	COPB1	list	18.92827027532768	1	1
PSMD1-18	PSMD1	list	18.93494269275961	1	1
POLR2D-3	POLR2D	list	19.043174886852942	1	1
COPA-1	COPA	list	19.151752768878644	1	1
NUP98-7	NUP98	list	19.329073219093107	1	1
PSMC2-4	PSMC2	list	19.339327609315017	1	1
RPS7-3	RPS7	list	19.362543421752147	1	1
RPS9-3	RPS9	list	19.417280886786497	1	1
RPS13-10	RPS13	list	19.4212032116972	1	1
PSMC2-1	PSMC2	list	19.45460973016611	1	1
COPS2-6	COPS2	list	19.519869672565086	1	1
PSMD6-8	PSMD6	list	19.581637841880173	1	1
POLR2D-8	POLR2D	list	19.664352671477555	1	1
PSMD1-9	PSMD1	list	19.70134940278197	1	1
NUP98-6	NUP98	list	19.72119652965853	1	1
RPL18A-1	RPL18A	list	19.820653701585783	1	1
RPS11-3	RPS11	list	19.822052116151948	1	1
RPL36-6	RPL36	list	19.843286518286927	1	1
PSMB2-14	PSMB2	list	19.876619709655518	1	1
RPL30-4	RPL30	list	19.957543487856167	1	1
POLA1-1	POLA1	list	19.98322893668612	1	1
COPA-9	COPA	list	20.076953033846777	1	1
PSMD7-4	PSMD7	list	20.169598972892754	1	1
PSMC2-9	PSMC2	list	20.170334642770264	1	1
RPS8-10	RPS8	list	20.18520049931248	1	1
PSMC1-1	PSMC1	list	20.192839328636772	1	1
COPZ1-2	COPZ1	list	20.194135977868328	1	1
NUP98-1	NUP98	list	20.22866097672036	1	1
PSMD6-10	PSMD6	list	20.235443353962925	1	1
RPL3-9	RPL3	list	20.23953559443375	1	1
COPZ1-12	COPZ1	list	20.284164859864244	1	1
PSMC4-4	PSMC4	list	20.29256461796154	1	1
POLR2F-6	POLR2F	list	20.375202200427534	1	1
PSMB2-21	PSMB2	list	20.378909164378697	1	1
PSMA3-3	PSMA3	list	20.386055766373637	1	1
PSMD1-2	PSMD1	list	20.39372163519502	1	1
NUP133-1	NUP133	list	20.411914665743474	1	1
POLA1-7	POLA1	list	20.419452911396657	1	1
COPS8-4	COPS8	list	20.423680254831666	1	1
POLR2D-7	POLR2D	list	20.45779826337624	1	1
COPS6-5	COPS6	list	20.492284956421994	1	1
RPL36-10	RPL36	list	20.524511333141923	1	1
PSMD6-19	PSMD6	list	20.557523870136055	1	1
COPB1-7	COPB1	list	20.58401358449775	1	1
PSMD7-8	PSMD7	list	20.61362291939829	1	1
RPL11-5	RPL11	list	20.73663939431049	1	1
RPL11-1	RPL11	list	20.775767934415878	1	1
COPA-2	COPA	list	20.802990386904426	1	1
RPL30-7	RPL30	list	20.85701532393322	1	1
COPS4-2	COPS4	list	20.937403422481136	1	1
NUP133-2	NUP133	list	20.946329885428522	1	1
COPS8-12	COPS8	list	21.029693886768346	1	1
COPB1-2	COPB1	list	21.121422677396467	1	1
RPL9-9	RPL9	list	21.131567211674128	1	1
RPL34-3	RPL34	list	21.151421533473023	1	1
RPS11-7	RPS11	list	21.158075336379916	1	1
RPL5-3	RPL5	list	21.230308050124982	1	1
COPZ1-4	COPZ1	list	21.349116943222327	1	1
POLR2A-7	POLR2A	list	21.359633138450338	1	1
RPL3-4	RPL3	list	21.364343704053937	1	1
NUP205-2	NUP205	list	21.412490220927907	1	1
RPS19-5	RPS19	list	21.488177712523953	1	1
RPL11-10	RPL11	list	21.516578835559947	1	1
PSMB2-23	PSMB2	list	21.533396819903782	1	1
RPS9-7	RPS9	list	21.545518500011394	1	1
PSMC4-6	PSMC4	list	21.5609617073875	1	1
RPS19-7	RPS19	list	21.592716527610822	1	1
POLR2A-1	POLR2A	list	21.62655954291904	1	1
RPS19-6	RPS19	list	21.630758719049357	1	1
NUP205-1	NUP205	list	21.676265160576968	1	1
NUP98-14	NUP98	list	21.683429215993236	1	1
NUP205-5	NUP205	list	21.75545975886999	1	1
PSMD6-5	PSMD6	list	21.8195215456613	1	1
PSMA3-11	PSMA3	list	21.87674940695191	1	1
NUP54-11	NUP54	list	21.878911511262196	1	1
COPS6-8	COPS6	list	21.884189234125785	1	1
POLA1-4	POLA1	list	21.974302041111567	1	1
PSMD6-12	PSMD6	list	21.97491095590644	1	1
COPB1-5	COPB1	list	21.9851129802262	1	1
NUP98-2	NUP98	list	22.08458447460193	1	1
COPS4-1	COPS4	list	22.12734370989786	1	1
PSMC2-3	PSMC2	list	22.161435274182274	1	1
COPS8-10	COPS8	list	22.261891779230698	1	1
PSMB2-15	PSMB2	list	22.265469114301794	1	1
RPS3A-4	RPS3A	list	22.312524731790568	1	1
RPL35A-6	RPL35A	list	22.382429233451596	1	1
PSMD7-1	PSMD7	list	22.48307729968516	1	1
RPL5-2	RPL5	list	22.507825500718013	1	1
NUP133-6	NUP133	list	22.621632175164446	1	1
RPL18A-4	RPL18A	list	22.67026669408852	1	1
RPL27-2	RPL27	list	22.679229158570926	1	1
PSMD7-2	PSMD7	list	22.737482265146134	1	1
PSMB2-6	PSMB2	list	22.765111059541386	1	1
POLA1-5	POLA1	list	22.983876641333342	1	1
PSMC2-7	PSMC2	list	23.025440503069404	1	1
RPS13-5	RPS13	list	23.042173834722654	1	1
RPS9-2	RPS9	list	23.07623682799461	1	1
POLR2D-1	POLR2D	list	23.096272945422463	1	1
POLR2F-5	POLR2F	list	23.143523430340107	1	1
PSMB2-5	PSMB2	list	23.187918937529847	1	1
PSMC4-3	PSMC4	list	23.224139898792266	1	1
RPL34-7	RPL34	list	23.28280077493313	1	1
COPS2-9	COPS2	list	23.283665281437308	1	1
POLR2F-3	POLR2F	list	23.29001236400111	1	1
PSMD7-7	PSMD7	list	23.32747156198958	1	1
PSMB2-4	PSMB2	list	23.33585048629554	1	1
PSMB2-18	PSMB2	list	23.414838733739533	1	1
PSMC4-2	PSMC4	list	23.469106458810828	1	1
PSMD6-1	PSMD6	list	23.476161752007542	1	1
COPB1-1	COPB1	list	23.4844818324317	1	1
NUP98-12	NUP98	list	23.52288223546317	1	1
COPS4-7	COPS4	list	23.646193334062076	1	1
RPS13-7	RPS13	list	23.677817652243245	1	1
RPS13-6	RPS13	list	23.701019097410057	1	1
RPS9-4	RPS9	list	23.75243217241189	1	1
RPS13-2	RPS13	list	23.755335592046976	1	1
RPL30-1	RPL30	list	23.879289855220723	1	1
PSMC2-11	PSMC2	list	23.910001398592414	1	1
PSMD7-5	PSMD7	list	23.93295803461504	1	1
COPS4-4	COPS4	list	23.94914787214491	1	1
RPL11-9	RPL11	list	24.129816334285493	1	1
RPL36-5	RPL36	list	24.20976722650592	1	1
PSMC2-2	PSMC2	list	24.297354911972434	1	1
RPS8-5	RPS8	list	24.337920824668963	1	1
RPS9-8	RPS9	list	24.34116913914032	1	1
POLR2F-9	POLR2F	list	24.362594146807982	1	1
COPS2-4	COPS2	list	24.379669557894275	1	1
PSMC1-4	PSMC1	list	24.442332143582433	1	1
RPL18A-7	RPL18A	list	24.49970392931888	1	1
NUP93-10	NUP93	list	24.520758886210306	1	1
RPL9-6	RPL9	list	24.608449441965217	1	1
POLA1-3	POLA1	list	24.75130027836593	1	1
RPS24-5	RPS24	list	24.789276650973967	1	1
RPS19-3	RPS19	list	24.80489476614125	1	1
RPL30-8	RPL30	list	25.061586918033477	1	1
RPL3-11	RPL3	list	25.144065194103074	1	1
RPL6-2	RPL6	list	25.1962862961162	1	1
RPL9-7	RPL9	list	25.341396779499124	1	1
COPZ1-11	COPZ1	list	25.34863764549253	1	1
COPS4-6	COPS4	list	25.361201973302652	1	1
COPB1-6	COPB1	list	25.41662229552437	1	1
RPL34-5	RPL34	list	25.50485004591154	1	1
NUP54-19	NUP54	list	25.529066826423342	1	1
POLR2A-2	POLR2A	list	25.671169715414816	1	1
RPS8-4	RPS8	list	25.692400739780243	1	1
PSMD11-9	PSMD11	list	25.729908940745673	1	1
RPS3A-1	RPS3A	list	25.762563639248125	1	1
POLR2D-4	POLR2D	list	25.795528230762585	1	1
RPL35A-1	RPL35A	list	25.858371858371683	1	1
RPL18A-8	RPL18A	list	25.877776507630625	1	1
RPL11-7	RPL11	list	25.903265818097765	1	1
PSMD6-18	PSMD6	list	26.040170394663974	1	1
RPS13-8	RPS13	list	26.067400223400632	1	1
POLR2D-2	POLR2D	list	26.07301239364267	1	1
RPL35A-4	RPL35A	list	26.17460309905322	1	1
PSMD11-5	PSMD11	list	26.212854435558963	1	1
RPS19-8	RPS19	list	26.407711180257515	1	1
PSMB2-3	PSMB2	list	26.473882189726115	1	1
PSMD6-4	PSMD6	list	26.51857704488118	1	1
RPL35A-5	RPL35A	list	26.6021753462958	1	1
COPZ1-17	COPZ1	list	26.607086501700902	1	1
NUP133-7	NUP133	list	26.679376356420924	1	1
RPS13-9	RPS13	list	26.687882967402967	1	1
RPL11-8	RPL11	list	26.69214151926241	1	1
RPS11-1	RPS11	list	26.844700718155668	1	1
POLR2F-1	POLR2F	list	26.968707327948096	1	1
PSMC2-14	PSMC2	list	27.29079475156523	1	1
NUP54-18	NUP54	list	27.369751446912545	1	1
PSMB2-12	PSMB2	list	27.470487465184423	1	1
RPS19-2	RPS19	list	27.701722369840045	1	1
RPL27-10	RPL27	list	27.782639738724207	1	1
RPL36-1	RPL36	list	27.843796368447585	1	1
COPS4-9	COPS4	list	27.844953168045986	1	1
RPL9-3	RPL9	list	27.917396822679144	1	1
POLR2D-9	POLR2D	list	28.48525882169445	1	1
PSMC4-5	PSMC4	list	28.525121971902312	1	1
PSMB2-10	PSMB2	list	28.56075530325679	1	1
NUP93-2	NUP93	list	28.60047422716427	1	1
POLR2F-2	POLR2F	list	28.603722334866703	1	1
PSMB2-2	PSMB2	list	28.7150859410909	1	1
RPL34-1	RPL34	list	28.80117113447858	1	1
PSMA3-6	PSMA3	list	28.809310986493887	1	1
RPL5-5	RPL5	list	29.019973517029445	1	1
PSMD6-7	PSMD6	list	29.30249492720847	1	1
PSMB3-9	PSMB3	list	29.334697282620063	1	1
RPS24-7	RPS24	list	29.345111081734746	1	1
RPL18A-6	RPL18A	list	29.352959353516624	1	1
RPS8-7	RPS8	list	29.380472258551475	1	1
COPA-8	COPA	list	29.465119630816172	1	1
COPZ1-18	COPZ1	list	29.46539930019188	1	1
PSMC1-8	PSMC1	list	29.518255687585906	1	1
RPS11-10	RPS11	list	29.75916372377924	1	1
PSMB2-1	PSMB2	list	29.84875013405995	1	1
NUP93-1	NUP93	list	29.858816409106062	1	1
COPB1-3	COPB1	list	30.143655402965738	1	1
PSMB2-13	PSMB2	list	30.145789986480036	1	1
RPL5-6	RPL5	list	30.15474929809468	1	1
RPL11-2	RPL11	list	30.19066408546579	1	1
PSMC1-6	PSMC1	list	30.48581240888966	1	1
RPS9-10	RPS9	list	30.514488939128796	1	1
PSMC1-9	PSMC1	list	30.684698795678912	1	1
PSMC1-10	PSMC1	list	30.747337462696443	1	1
NUP93-7	NUP93	list	31.360564935232187	1	1
RPS13-4	RPS13	list	31.59248840458759	1	1
RPL36-3	RPL36	list	32.08981777001684	1	1
RPS11-2	RPS11	list	32.10207339512954	1	1
RPS8-8	RPS8	list	32.5101565233315	1	1
POLR2A-5	POLR2A	list	33.58740657504012	1	1
RPS3A-3	RPS3A	list	34.002491662490115	1	1
PSMB3-3	PSMB3	list	34.48078102046075	1	1
PSMD11-2	PSMD11	list	36.940928261489525	1	1
NUP93-4	NUP93	list	37.0354167922334	1	1
RPS19-10	RPS19	list	37.638526565169336	1	1
